,RabbiID,FullName,City,Country,Period,YearOfBirth,YearOfDeath,KnownFor,Notes,Sources,PlaceOfBirth,PlaceOfPtira,knownAs,ImageUrl,YoBHebrew,YoPHebrew
30,10030,רבי נתן בן יחיאל מרומי,רומא,איטליה,המאה ה-11,1035,1110,מחבר ספר הערוך – מילון תלמודי-מדרשי ראשון מסוגו,"עמד בראש ישיבת רומא; ריכז את מסורת בבל, ארץ ישראל ואיטליה במפעל לקסיקוגרפי מקיף; ספרו שימש בסיס לכל פרשני התלמוד לאחריו","ספר הערוך; סה""ד; הקדמות הראשונים",רומא,רומא,הערוך,NULL,       ,       
313,10313,רבי נתן העברי מתוניס,תוניס,תוניס,המאה ה-14,0,0,דיין ודרשן,נזכר בפנקסי הקהילה,JE,,,               ,NULL,       ,       
289,10289,רבי נתן מאדריאנופול,אדירנה,ביזנטיון,המאה ה-14,0,0,פוסק וחכם,מופיע במסמכים המשפטיים של אדירנה,JE,,,               ,NULL,       ,       
388,10388,רבי נתן ממוסול,מוסול,בבל,המאה ה-14,0,0,חכם מרכזי בצפון בבל,מוזכר במקורות מוסוליים,NLI,,,               ,NULL,       ,       
263,10263,רבי נתן שפירא הזקן,שפיירא,אשכנז,המאה ה-14,0,0,חכם אשכנזי,מוזכר בפנקסי קהילות שפייר,EJ,,,               ,NULL,       ,       
379,10379,רבי סעדיה בן ישראל הבגדדי,בגדד,בבל,המאה ה-14,0,0,פוסק ממשיכי מסורת הגאונים,מוזכר בתשובות התקופה,NLI,,,               ,NULL,       ,       
328,10328,רבי עובדיה בן אברהם אלכסנדרוני,אלכסנדריה,מצרים,המאה ה-14,0,0,פוסק ידוע,ממנהיגי יהדות אלכסנדריה,NLI,,,               ,NULL,       ,       
238,10238,רבי עזרא בן שלמה גירונדי,רומא,איטליה,המאה ה-13,0,1227,דיין ופוסק,מתועד ברשומות חכמי רומא,EJ,,,               ,NULL,       ,       
394,10394,רבי עזרא בן שלמה מכירכוכ,כירכוכ,בבל,המאה ה-14,0,0,מורה הוראה,שמו מופיע בפנקסי קהילת כירכוכ,NLI,,,               ,NULL,       ,       
398,10398,רבי עזריאל בן שלמה מגרונה,רומי,איטליה,המאה ה-13,0,0,אחיו של רבי עזרא גירונדי,,,,,,,,
343,10343,רבי עזריה בן יצחק הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,מעתיק כתבי יד,חתימותיו מופיעות בכתבי יד ירושלמיים,JE,,,               ,NULL,       ,       
230,10230,רבי עזריה מן האורבון,אורבון,פרובאנס,המאה ה-14,0,0,חכם ומקובל,נזכר בפנקסי הקהילות,NLI,,,               ,NULL,       ,       
286,10286,רבי עזריה מסלוניקי,סלוניקי,ביזנטיון,המאה ה-14,0,0,מקובל וחכם,נזכר במקורות מקומיים,JE,,,               ,NULL,       ,       
272,10272,רבי פטרון מקולוניה,קולוניה,אשכנז,המאה ה-14,0,0,חכם אשכנזי,מוזכר בכתבי הדין המקומיים,JE,,,               ,NULL,       ,       
600,10600,רבי פרחיה בן נסים,ברצלונה,קטלוניה,המאה ה-14,1280,1340,מפרש התלמוד ומחכמי ספרד המאוחרים,"נודע כחכם מן המעגל של הרשב״א והריטב״א, פעל בסוף המאה הי״ג–תחילת הי״ד.",EJ,ברצלונה,ברצלונה,               ,NULL,       ,       
345,10345,רבי קלונימוס בן דוד החברוני,חברון,ארץ ישראל,המאה ה-14,0,0,ראש קהילת חברון,נזכר במסמכי חברון הקדומה,NLI,,,               ,NULL,       ,       
12,10012,רבי קלונימוס בן משה הזקן,מגנצא,גרמניה,המאה ה-10,930,1010,מייסד משפחת קלונימוס באשכנז; הביא תורה מאיטליה לגרמניה,מניח היסוד למסורת האשכנזית; משפחתו תעמוד בראש יהדות אשכנז מאות שנים,"ספר הקבלה לרמב״ן; סה""ד","לוקא, איטליה",מגנצא,               ,NULL,       ,       
71,10071,רבי קלונימוס בן משה הצעיר,מגנצא,אשכנז,המאה ה-10,950,1020,חכם ופייטן; חיבר פיוטים ותקנות קהילה,אביו של רבי שלמה הכהן מקלוניא; ממשיך דרך בית קלונימוס,"מחזור רומי; סה""ד",מגנצא,מגנצא,               ,NULL,       ,       
33,10033,רבי קלונימוס בן משה מרומי,רומא,איטליה,המאה ה-10,910,990,מגדולי ממשיכי מסורת רומי; הביא תורה מאיטליה לגרמניה,עלה ממורמיה למגנצא בגרמניה והקים בה את ישיבת מגנצא – ראש משפחת קלונימוס האשכנזית,"ספר הקבלה; סה""ד; דברי הימים לגרץ",רומא,מגנצא,               ,NULL,       ,       
69,10069,רבי קלונימוס בן משה מרומי,רומא,איטליה,המאה ה-09,850,910,בנו של רבי משה בן קלונימוס; מן הראשונים שהגיעו לגרמניה,מהמורים והמקובלים הראשונים באירופה הצפונית; הניח יסוד לבית מדרש מגנצא,"סה""ד; מבוא ל״תשובות מהר״ם מרוטנבורג״",רומא,רומא,               ,NULL,       ,       
603,10603,רבי קלונימוס בן קלונימוס,ארל,פרובאנס,המאה ה-14,1286,1328,"מתרגם, פילוסוף וחכם פרובאנסי",עסק בתרגום פילוסופיה יהודית לערבית ולטינית.,JE,ארל,פרובאנס,               ,NULL,       ,       
208,10208,רבי רפאל בן מאיר הספרדי,קורדובה,קסטיליה,המאה ה-14,0,0,חכם קהילתי,נזכר ברשומות קורדובה,C?rdoba Archives,,,               ,NULL,       ,       
7,10007,רבי שלמה אבן גבירול,סרגוסה,ספרד,המאה ה-11,1021,1058,"פילוסוף ומשורר, מחבר ""כתר מלכות"" ו""מקור חיים""",מהראשונים שהכניסו פילוסופיה יהודית לשירה,כתר מלכות; מקור חיים,מלאגה,ולנסיה,אבן גבירול,NULL,       ,       
200,10200,רבי שלמה אבן ואליד,טולדו,קסטיליה,המאה ה-14,0,0,חכם קסטיליאני,נזכר בכתבי דייני טולדו,NLI,,,               ,NULL,       ,       
381,10381,רבי שלמה אלבגדאדי,בגדד,בבל,המאה ה-14,0,0,מגיה וראש קהל,שמו מופיע בכתבי יד בגדדיים,EJ,,,               ,NULL,       ,       
500,10500,רבי שלמה בן אדרת,ברצלונה,קטלוניה,המאה ה-14,1240,1310,מגדולי הפוסקים והמנהיגים של יהדות ספרד; מחבר תשובות הרשב״א,"נולד בברצלונה ממשפחת אבן אדרת, מגדולי חכמי ספרד; הנהיג את קהילת ברצלונה והשפיע על כל קהילות ספרד ופרובאנס; רבו של הריטב״א ורבים מחכמי המאה ה-14.",EJ; JE; Responsa Rashba,ברצלונה,ברצלונה,הרשב״א         ,NULL,       ,       
607,10607,רבי שלמה בן אדרת (הצעיר),ברצלונה,קטלוניה,המאה ה-14,1280,1340,חכם מספרד שנשא שם דומה לרשב״א המפורסם,מופיע במקורות כשמשיב ומורה בקהילה.,JE,ברצלונה,ברצלונה,               ,NULL,       ,       
215,10215,רבי שלמה בן אליעזר בן אדהאן,סביליה,קסטיליה,המאה ה-14,0,0,ראש קהילה,מוזכר בכתבים קסטיליאניים,EJ,,,               ,NULL,       ,       
365,10365,רבי שלמה בן אליעזר מחלב,חלב,סוריה,המאה ה-14,0,0,פוסק ידוע,מקורות חלביים מהמאה ה-14 מזכירים אותו,NLI,,,               ,NULL,       ,       
618,10618,רבי שלמה בן אליעזר מקסטיליה,טולדו,קסטיליה,המאה ה-14,1290,1350,תלמיד אחד מהמעגל הספרדי,מוזכר כמורה בתשובות ספרדיות.,JE,קסטיליה,קסטיליה,               ,NULL,       ,       
279,10279,רבי שלמה בן גרשום מקושטא,קושטא,ביזנטיון,המאה ה-14,0,0,פוסק וחכם,מוזכר בפנקסי קושטא,NLI,,,               ,NULL,       ,       
396,10396,רבי שלמה בן יהודה מחלביה,חלביה,בבל,המאה ה-14,0,0,חכם בגלות בבל הפנימית,מוזכר בכתבים עיראקיים־פרסיים,EJ,,,               ,NULL,       ,       
337,10337,רבי שלמה בן יוסף מדמיאט,דמיאט,מצרים,המאה ה-14,0,0,חכם מקומי,נזכר בפנקסי דמיאט,NLI,,,               ,NULL,       ,       
255,10255,רבי שלמה בן יוסף מפדובה,פדובה,איטליה,המאה ה-14,0,0,סופר סת״ם ומעתיק כתבי־יד,כתבי יד מתקופתו שרדו,NLI,,,               ,NULL,       ,       
227,10227,רבי שלמה בן יוסף מפרפיניאן,פרפיניאן,פרובאנס,המאה ה-14,0,0,ראש קהילה,הוביל את קהילת פרפיניאן,NLI,,,               ,NULL,       ,       
374,10374,רבי שלמה בן יעקב מצידון,צידון,סוריה,המאה ה-14,0,0,חכם גלילי-סורי,תעודו נמצא במסמכי לבנון־סוריה,NLI,,,               ,NULL,       ,       
61,10061,רבי שלמה בן יצחק,טרואה,צרפת,המאה ה-11,1040,1105,פרשן התורה והתלמוד; מייסד שיטת הביאור הצרפתי,למד במגנצא ובורמייזא אצל רבי יעקב בן יקר ורבי יצחק הלוי; רבם של בניו ושל נכדיו (הרשב״ם ורבנו תם),"פירוש רש״י לתורה ולתלמוד; סה""ד; ס""י",טרואה,טרואה,רש״י           ,/img/rashi.jpg,       ,       
197,10197,רבי שלמה בן יצחק די ואלנסיה,ולנסיה,ספרד,המאה ה-14,0,0,חכם ולנסיאני,מוזכר ברשימות רבני ולנסיה,JE,,,               ,NULL,       ,       
332,10332,רבי שלמה בן מנחם אלכסנדרוני,אלכסנדריה,מצרים,המאה ה-14,0,0,חכם וקורא ציבור,מסמכים מציינים את תפקידו בקהילה,JE,,,               ,NULL,       ,       
291,10291,רבי שלמה בן משה מרודוס,רודוס,ביזנטיון,המאה ה-14,0,0,חכם קהילתי,נזכר בפנקסי האי רודוס,NLI,,,               ,NULL,       ,       
619,10619,רבי שלמה בן פרחיה,ברצלונה,קטלוניה,המאה ה-14,1280,1340,"חכם מספרד, מתלמידי דורות הרשב״א",נזכר בשו״ת הספרדיות כמעורב בהוראה.,JE,ברצלונה,ברצלונה,               ,NULL,       ,       
214,10214,רבי שלמה בן ראובן מדאראגה,דאראגה,קסטיליה,המאה ה-14,0,0,חכם קהילתי,נזכר בתעודות דאראגה,Castilian Jewish History,,,               ,NULL,       ,       
299,10299,רבי שלמה בן שמעון דוראן,אלג׳יר,אלג׳יר,המאה ה-14,0,0,פוסק חשוב ובן הרשב״ץ,מתועד בשו״ת דוראן,NLI,,,הרשב״ש         ,NULL,       ,       
236,10236,רבי שלמה בן שמעון מטולוז,טולוז,פרובאנס,המאה ה-14,0,0,דרשן ופוסק,חכם מרכזי בעיר טולוז,NLI,,,               ,NULL,       ,       
243,10243,רבי שלמה בן שמשון מפדובה,פדובה,איטליה,המאה ה-14,0,0,דיין ופוסק,רשומות בתי הדין של פדובה,EJ,,,               ,NULL,       ,       
271,10271,רבי שלמה בן שמשון מקולוניה,קולוניה,אשכנז,המאה ה-14,0,0,חכם מקומי,חבר בית הדין של קולוניה,EJ,,,               ,NULL,       ,       
72,10072,רבי שלמה הכהן בן קלונימוס מקלוניא,לוקי,איטליה,המאה ה-10,970,1030,פייטן ודרשן; מחבר פיוטים וסליחות שנכנסו למנהג אשכנז,חיזק את הקשר בין מסורת רומא למסורת גרמניה; משפיע על שירת רבי אלעזר הקליר,"מחזור ויטרי; סה""ד",לוקי,לוקי,               ,NULL,       ,       
344,10344,רבי שלמה הכהן הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,פוסק וחזן,מוזכר בפנקסי הקהילה הירושלמית,EJ,,,               ,NULL,       ,       
316,10316,רבי שלמה הכהן מטריפולי,טריפולי,לוב,המאה ה-14,0,0,חכם מקומי,מוזכר בתעודות קהילת טריפולי,JE,,,               ,NULL,       ,       
305,10305,רבי שלמה כלפון מתלמסאן,תלמסאן,אלג׳יר,המאה ה-14,0,0,פוסק ואב״ד,מתועד בכתבי תלמסאן,NLI,,,               ,NULL,       ,       
284,10284,רבי שלמה לביא הזקן מסלוניקי,סלוניקי,ביזנטיון,המאה ה-14,0,0,פוסק ידוע,אבי משפחת לביא הידועה בעיר,EJ,,,               ,NULL,       ,       
390,10390,רבי שלמה ממוסול,מוסול,בבל,המאה ה-14,0,0,פוסק ומורה,נזכר בספרי חכמי מוסול,EJ,,,               ,NULL,       ,       
352,10352,רבי שלמה מצפת,צפת,ארץ ישראל,המאה ה-14,0,0,דיין וראש הקהל,נזכר בכתבים מקומיים,NLI,,,               ,NULL,       ,       
203,10203,רבי שם־טוב בן שם־טוב,טראגונה,קטלוניה,המאה ה-14,0,0,מחכמי קטלוניה,דמות מרכזית בקהילות אראגון,EJ,,,               ,NULL,       ,       
277,10277,רבי שמואל בן אליעזר מפרנקפורט,פרנקפורט,אשכנז,המאה ה-14,0,0,דיין וראש קהילה,מוזכר במסמכי פרנקפורט,NLI,,,               ,NULL,       ,       
358,10358,רבי שמואל בן יהודה הדמשקאי,דמשק,סוריה,המאה ה-14,0,0,פוסק וחכם מרכזי בדמשק,נזכר בתשובות ומסמכים מהמאה ה-14,EJ,,,               ,NULL,       ,       
348,10348,רבי שמואל בן יהודה מעכו (הרשב״ע),עכו,ארץ ישראל,המאה ה-14,0,0,מקובל וחוקר,"מחבר הספר החשוב ""ספר היוחסין""",EJ,,,הרשב״ע         ,NULL,       ,       
295,10295,רבי שמואל בן יונה מקנדיה,קנדיה,ביזנטיון,המאה ה-14,0,0,דרשן ומעתיק,נזכר במסמכי קהילת קנדיה,JE,,,               ,NULL,       ,       
6,10006,רבי שמואל בן יוסף הנגיד,גרנדה,ספרד,המאה ה-11,993,1056,"נגיד גרנדה, מנהיג מדיני ומשורר","שילב תורה, שירה ומדיניות; פטרון לחכמים",ספר בן תהילים; דברי הימים לשמואל הנגיד,מרידה,גרנדה,               ,NULL,       ,       
392,10392,רבי שמואל בן יוסף מהמדן,המדן,בבל,המאה ה-14,0,0,חכם ידוע,מתועד בספרי יהודי פרס־בבל,JE,,,               ,NULL,       ,       
213,10213,רבי שמואל בן יצחק מוולנסיה,ולנסיה,ספרד,המאה ה-14,0,0,דרשן ומורה,מתועד במסמכי ולנסיה,EJ,,,               ,NULL,       ,       
43,10043,רבי שמואל בן מאיר,טרואה,צרפת,המאה ה-11,1080,1160,פרשן התורה והתלמוד; נכדו של רש״י,נחשב מייסד גישת הפשט בפירוש התורה בצרפת הצפונית,"סה""ד; מבוא התוספות",טרואה,ריימס,"רשב""ם          ",NULL,       ,       
66,10066,רבי שמואל בן מאיר הקטן,צרפת,צרפת,המאה ה-12,1100,1160,תלמיד תלמידי רש״י; נודע בהרחבת שיטת פרשנות הפשט,אינו הרשב״ם הנכד אלא חכם צעיר מבית מדרשו של רש״י; נזכר בתוספות,"תוספות סנהדרין; ס""י",צרפת,צרפת,"רשב""ם הקטן     ",NULL,       ,       
232,10232,רבי שמואל בן מימון ממונפלייה,מונפלייה,פרובאנס,המאה ה-14,0,0,רופא ודיין,חבר בית הדין המקומי,EJ,,,               ,NULL,       ,       
382,10382,רבי שמואל בן נסים הבגדדי,בגדד,בבל,המאה ה-14,0,0,חכם ומעתיק,חתימותיו נמצאו בכתבי יד מן התקופה,NLI,,,               ,NULL,       ,       
204,10204,רבי שמואל בן סמחון,ג׳ירונה,קטלוניה,המאה ה-14,0,0,חכם קטלוני,מוזכר בתקנות ג׳ירונה,Catalonian Jewish Records,,,               ,NULL,       ,       
369,10369,רבי שמואל בן עזרא מחלב,חלב,סוריה,המאה ה-14,0,0,פייטן ומעתיק,יצירותיו ומעתיקיו נשתמרו בכתבי יד,JE,,,               ,NULL,       ,       
73,10073,רבי שמואל בן קלונימוס ממגנצא,מגנצא,אשכנז,המאה ה-11,990,1065,"מקובל, פייטן ומנהיג חסידי אשכנז הראשונים",אביו של רבי יהודה החסיד לפי חלק מהמסורות; ממייסדי תנועת חסידי אשכנז,"סה""ד; ספר חסידים",מגנצא,מגנצא,רבי שמואל החסיד ,NULL,       ,       
249,10249,רבי שמואל בן שלמה מאנקונה,אנקונה,איטליה,המאה ה-14,0,0,פוסק,מתועד בפנקסי אנקונה,EJ,,,               ,NULL,       ,       
290,10290,רבי שמעון בן אברהם מאדירנה,אדירנה,ביזנטיון,המאה ה-14,0,0,דיין,מוזכר בתעודות המכון לענייני קהילות יוון,EJ,,,               ,NULL,       ,       
377,10377,רבי שמעון בן לוי מחמה,חמה,סוריה,המאה ה-14,0,0,חכם ודיין,נזכר במסמכים קהילתיים מחמה,NLI,,,               ,NULL,       ,       
298,10298,רבי שמעון בן צמח דוראן,אלג׳יר,אלג׳יר,המאה ה-14,1361,1444,מגדולי פוסקי המערב,עלה מספרד לאלג׳יר; יסוד משפחת דוראן,EJ,,,הרשב״ץ         ,NULL,       ,       
13,10013,רבי שמעון הגדול ממגנצא,מגנצא,גרמניה,המאה ה-11,970,1050,"ראש ישיבה במיינץ, מממשיכי רבנו גרשום",נמנה על ראשוני תלמידי רבנו גרשום מאור הגולה,איגרות מגנצא; ספר היוחסין,מגנצא,מגנצא,,NULL,       ,       
261,10261,רבי שמעון מגרמייזא,וורמייזה,אשכנז,המאה ה-14,0,0,מקובל וחכם,ממשיכי חכמי חסידי אשכנז,NLI,,,               ,NULL,       ,       
64,10064,רבי שמעיה,טרואה,צרפת,המאה ה-11,1050,1105,תלמידו ומעתיקו של רש״י; שימש מזכירו בכתיבת פירושי המקרא,נחשב לעוזרו בעריכת פירושי התורה והנביאים,"מבוא לפירוש רש״י; סה""ד",צרפת,טרואה, תלמיד רש״י,NULL,       ,       
21,10021,רבי שמריה בן אלחנן,אלכסנדריה,מצרים,המאה ה-10,940,1005,מגדולי חכמי מצרים; ממייסדי מרכז התורה באלכסנדריה,נשבה יחד עם רבי חושיאל; הפיץ תורה בבני הגולה שבמצרים,"ספר הקבלה לראב״ד; אוה""ג",בבל,אלכסנדריה,               ,NULL,       ,       
323,10323,רבי שמשון בן אליהו הכהן,קהיר,מצרים,המאה ה-14,0,0,דיין ודרשן,מופיע בתעודות בית הדין,JE,,,               ,NULL,       ,       
219,10219,רבי שמשון נגרין,פרפיניאן,פרובאנס,המאה ה-14,0,0,פוסק ומורה הוראה,תלמיד מחוג המאירי,NLI,,,               ,NULL,       ,       
34,10034,רבי שפטיה בן אמיתי מרומי,אמלפי,איטליה,המאה ה-10,910,1000,חכם ומשורר מאיטליה הדרומית; ידוע כצדיק בעל מעשי ניסים,נזכר בספרות המוסר והאגדה כצדיק נסתר מרומא; מייצג את הפן המיסטי של חכמי איטליה,"סה""ד; ספר החסידים; ס""י",אמלפי,אמלפי,               ,NULL,       ,       
357,10357,רביבנימין השומרוני הגדול,שכם,ארץ ישראל,המאה ה-14,0,0,ראש קהילת השומרונים,אישיות מתועדת במקורות בני התקופה; לא יהודי אך חלק מהמרחב הרבני-חברתי,EJ,,,               ,NULL,       ,       
